Star,RA,Dec,Period,Method,Gaia_Dist,Calc_Dist,Dust_Av,Status
V* V Hyi,7.124264646170001,-80.91233854023,0.5940,RR_Lyrae(K),,3860.0,0.00,No Gaia Ref
ASAS J093731-1816.2,144.38063424177,-18.27024174221,0.5203,RR_Lyrae(K),,3865.2,0.00,No Gaia Ref
NSVS   2909041,258.99825038895995,54.46934100865,0.6410,RR_Lyrae(K),,3701.6,0.00,No Gaia Ref
V* V387 Gem,108.02363074347,17.3800035121,0.7249,RR_Lyrae(K),,3912.7,0.00,No Gaia Ref
CRTS J054017.0-285107,85.07096438572,-28.85196212792,1.6544,None,,0,0.00,Processing
ATO J078.2331+03.4276,78.23316158609,3.427695832,4.8484,None,,0,0.00,Processing
CRTS J115026.2-245002,177.60925220771,-24.833876925450003,0.5741,RR_Lyrae(K),,4515.2,0.00,No Gaia Ref
SOPS    I e-28,167.529839291,-74.25383790784,7.8111,Cepheid(IR),,11340.1,0.00,No Gaia Ref
V* V539 Cen,219.58732332877,-41.76742447072,0.5428,RR_Lyrae(K),,4069.6,0.00,No Gaia Ref
V* UX Pav,267.93819116343,-61.88331270298,2.2762,Cepheid(IR),,19630.1,0.00,No Gaia Ref
V* V419 Dra,286.82166264456,55.37075961800001,0.6005,RR_Lyrae(K),,4249.8,0.00,No Gaia Ref
CRTS J185028.8-480028,282.61974686878,-48.00783384911,0.5604,RR_Lyrae(V),,3784.4,0.00,No Gaia Ref
CRTS J164145.6-202949,250.44071330035,-20.49658351816,0.5138,RR_Lyrae(V),,3784.4,0.00,No Gaia Ref
V* CR Aur,97.2450838591,43.76243981851,0.5910,RR_Lyrae(K),,3537.9,0.00,No Gaia Ref
CRTS J141151.4-335115,212.96404427124,-33.8544756562,16.3605,None,,0,0.00,Processing
CRTS J234001.0-500117,355.00395340332,-50.02185996027,4.9214,Cepheid(IR),,34836.8,0.00,No Gaia Ref
CRTS J063656.3-251334,99.2349384749,-25.2258762583,0.6389,RR_Lyrae(V),,3784.4,0.00,No Gaia Ref
CRTS J034611.6-272504,56.54825286583001,-27.4178183725,0.6188,RR_Lyrae(V),,3784.4,0.00,No Gaia Ref
LINEAR 4063417,189.39966933968,-17.64958191563,0.7007,RR_Lyrae(K),,4592.1,0.00,No Gaia Ref
[DCD2013] CSS J140751.2-105903,211.96375668176,-10.98438286182,0.8843,RR_Lyrae(K),,4354.4,0.00,No Gaia Ref
CRTS J201018.0-480717,302.5743909114117,-48.12189275691277,1.8371,Cepheid(IR),,16826.4,0.00,No Gaia Ref
CRTS J194947.6-261434,297.447706022,-26.242099045210004,0.8815,RR_Lyrae(K),,4646.0,0.00,No Gaia Ref
CRTS J102208.3-294037,155.53437548163,-29.67720830717,0.6216,RR_Lyrae(V),,3768.8,0.00,No Gaia Ref
CRTS J052516.4-315258,81.31927826243,-31.883099277,0.6344,RR_Lyrae(V),,3767.0,0.00,No Gaia Ref
ATO J350.3252-03.9346,350.32517504264,-3.93462188149,0.6311,RR_Lyrae(K),,3989.0,0.00,No Gaia Ref
V* MP Her,272.56366911534,31.419145672940004,1.8193,Cepheid(IR),,16253.2,0.00,No Gaia Ref
CRTS J143653.6-392239,219.22399176142787,-39.37741789247361,11.0274,Cepheid(IR),,51378.2,0.00,No Gaia Ref
V* V558 Cen,222.2529142813,-41.44888702922,0.6228,RR_Lyrae(K),,4012.0,0.00,No Gaia Ref
NSVS   9230083,29.88059364466,7.685509942909999,0.5755,RR_Lyrae(K),,3572.6,0.00,No Gaia Ref
NSVS  17280733,322.07916386503,-18.229395821330005,0.5437,RR_Lyrae(K),,4003.8,0.00,No Gaia Ref
V* AA Mic,315.17316020004995,-39.18102864021,4.9212,Cepheid(IR),,26394.0,0.00,No Gaia Ref
NSVS   2698108,204.99183140006,65.33695930094,0.6352,RR_Lyrae(K),,4164.5,0.00,No Gaia Ref
CRTS J234735.0-245508,356.89617120947,-24.91892176174,4.8374,Cepheid(IR),,30942.5,0.00,No Gaia Ref
V* IX Pav,308.27416474649,-61.22223688123999,0.5788,RR_Lyrae(K),,4326.7,0.00,No Gaia Ref
V* RU Boo,221.50121032976,23.31228756964,0.5059,RR_Lyrae(K),,3663.6,0.00,No Gaia Ref
CRTS J184543.9-523627,281.43295493005,-52.60726240962,15.2929,Cepheid(IR),,15316.3,0.00,No Gaia Ref
V* AH Boo,204.22798022344,22.513043718250003,0.5544,RR_Lyrae(K),,3824.8,0.00,No Gaia Ref
V* WY Mic,313.62864110283,-42.87515381269,500.0000,Cepheid(IR),,554270.0,0.00,No Gaia Ref
CRTS J133120.4-383541,202.83529294224,-38.59431490621,0.5239,RR_Lyrae(V),,3767.0,0.00,No Gaia Ref
V* AH Lib,228.92772335912,-25.765550533720003,0.5159,RR_Lyrae(K),,4057.6,0.00,No Gaia Ref
CRTS J232122.2+310712,350.34281313372,31.11995462399,15.0235,None,,0,0.00,Processing
CRTS J212445.7-405014,321.1904225595699,-40.83708686778,0.6813,RR_Lyrae(V),,3767.0,0.00,No Gaia Ref
NSVS   1117770,257.59361296722,78.249608623,0.5444,RR_Lyrae(K),,3559.0,0.00,No Gaia Ref
V* EI Ara,261.12048970109,-59.7341847359,14.8577,Cepheid(IR),,46623.8,0.00,No Gaia Ref
CRTS J204646.0-303958,311.6919674416429,-30.66612844122528,11.1019,Cepheid(IR),,58157.3,0.00,No Gaia Ref
CRTS J192816.7-412052,292.06905047596,-41.347922729,0.8054,RR_Lyrae(K),,4375.3,0.00,No Gaia Ref
ASASSN-V J061337.33+070234.7,93.40552576112415,7.043041720352499,0.7868,RR_Lyrae(K),,2401.4,0.00,No Gaia Ref
V* CO Tuc,7.141071784530001,-72.16911037209,16.7622,Cepheid(IR),,68821.0,0.00,No Gaia Ref
V* TY Dor,81.02640774028,-69.41975543218,0.5531,RR_Lyrae(K),,4166.3,0.00,No Gaia Ref
ROTSE1 J140239.20+245749.7,210.66269049107,24.96352612431,0.6613,RR_Lyrae(K),,4322.1,0.00,No Gaia Ref
V* DR Sgr,295.42453423607,-29.90184029439,0.5866,RR_Lyrae(K),,3999.8,0.00,No Gaia Ref
ATO J068.9690+33.1284,68.96903461405,33.12850272026,0.5168,RR_Lyrae(V),,3749.7,0.00,No Gaia Ref
CRTS J133944.1-044558,204.93396445629,-4.766443307530001,1.1276,None,,0,0.00,Processing
CRTS J133945.7-185707,204.94060982607,-18.95177881669,0.5978,RR_Lyrae(K),,4329.7,0.00,No Gaia Ref
CRTS J183844.4-535628,279.6850894684437,-53.94097674414667,0.7384,RR_Lyrae(V),,3749.7,0.00,No Gaia Ref
CRTS J184608.6-450841,281.53526171639,-45.14454772967,0.5606,RR_Lyrae(V),,3749.7,0.00,No Gaia Ref
V* DQ Hya,177.48467640119,-35.64746695041,103.8292,Cepheid(IR),,165361.6,0.00,No Gaia Ref
OGLE LMC637.15.001292,77.5864602519,-79.27388988869,0.5422,RR_Lyrae(V),,3749.7,0.00,No Gaia Ref
V* V1348 Cen,216.45860993432,-32.40767786738,0.7765,RR_Lyrae(K),,4444.2,0.00,No Gaia Ref
[W71b] 007-12,117.44186945541,-19.6013957985,14.8208,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
ASAS J110733-2944.1,166.88842206237,-29.735766540309992,0.5247,RR_Lyrae(V),,3749.7,0.00,No Gaia Ref
BPS CS 22189-0005,38.12205229363,-14.53005925942,17.4630,Cepheid(IR),,75054.0,0.00,No Gaia Ref
ATO J154.3282+23.0541,154.32827242892,23.05423991617,0.5969,RR_Lyrae(K),,3856.3,0.00,No Gaia Ref
UCAC4 084-012138,98.51421781268002,-73.34781461462,20.6869,Cepheid(IR),,64729.8,0.00,No Gaia Ref
CRTS J175737.5+335504,269.40668191841,33.91766003955,1.3036,None,,0,0.00,Processing
UCAC4 146-210692,255.43430891317,-60.92254813638,16.6530,Cepheid(IR),,53882.1,0.00,No Gaia Ref
NSVS   1127822,269.94298693215,77.69615958121,0.5466,RR_Lyrae(K),,4047.2,0.00,No Gaia Ref
UCAC4 054-023394,313.0086678164399,-79.22509781901,0.6274,RR_Lyrae(K),,3474.3,0.00,No Gaia Ref
OGLE GD-RRLYR-2982,201.88447564092,-70.10047166779,14.5960,Cepheid(Opt),,42164.1,0.00,No Gaia Ref
ZTF J235839.99+005753.5,359.66661868103,0.9648944326,0.5511,RR_Lyrae(V),,3748.0,0.00,No Gaia Ref
CRTS J181952.0-541151,274.9660565073,-54.198248537023055,0.7875,RR_Lyrae(K),,4192.4,0.00,No Gaia Ref
UCAC4 705-046947,124.04358291347,50.86712050672,11.6629,Cepheid(IR),,24890.4,0.00,No Gaia Ref
UCAC4 105-083151,221.63027681368,-69.14037287142,5.9946,None,,0,0.00,Processing
CRTS J113612.6-282804,174.05258918983,-28.46748687964,0.6643,RR_Lyrae(V),,3732.5,0.00,No Gaia Ref
V* V501 Cen,212.957979421,-43.941654131590006,0.5608,RR_Lyrae(K),,4397.0,0.00,No Gaia Ref
V* IO Lyr,275.65831360519,32.95905652994,0.5772,RR_Lyrae(K),,1457.4,0.00,No Gaia Ref
CRTS J222401.2-275333,336.00444401582,-27.892866688220003,0.6495,RR_Lyrae(V),,3732.5,0.00,No Gaia Ref
V* IZ Eri,41.62105927974,-13.95092937166,0.5623,RR_Lyrae(K),,4156.1,0.00,No Gaia Ref
V* AF Sex,148.81623312652,3.75893009227,0.5302,RR_Lyrae(K),,3441.7,0.00,No Gaia Ref
CRTS J160337.8-275637,240.90777265316,-27.9436171043,0.5712,RR_Lyrae(V),,3732.5,0.00,No Gaia Ref
ZTF J160913.56+413641.5,242.3065614364,41.61160075017,0.6084,RR_Lyrae(K),,4444.7,0.00,No Gaia Ref
V* V643 Aur,92.6937788533,52.77847836472,0.5650,RR_Lyrae(K),,3184.5,0.00,No Gaia Ref
V* V715 Her,256.29972300074,47.98706528403999,0.6425,RR_Lyrae(V),,3732.5,0.00,No Gaia Ref
CRTS J065614.3-605645,104.0599996894425,-60.94578098780555,0.5225,RR_Lyrae(V),,3732.5,0.00,No Gaia Ref
CRTS J063257.1-494518,98.2378237851696,-49.7552006125275,7.0070,Cepheid(IR),,42065.6,0.00,No Gaia Ref
CRTS J030257.2-553139,45.737961097390006,-55.52762570154,9.4868,Cepheid(IR),,5748.5,0.00,No Gaia Ref
OGLE SMC-RRLYR-2594,356.81936924146,-78.70528871745,10.4499,Cepheid(IR),,45889.7,0.00,No Gaia Ref
ASAS J131823-4443.9,199.58948367903,-44.72382748123,14.5957,Cepheid(IR),,38201.5,0.00,No Gaia Ref
CRTS J150739.4-182822,226.91435918768,-18.47299816594,16.5951,None,,0,0.00,Processing
NSVS  14791207,40.65621504957,-18.45550892786,0.7430,RR_Lyrae(K),,4190.7,0.00,No Gaia Ref
CRTS J213552.0-410229,323.9666402747,-41.04132915462,7.6081,None,,0,0.00,Processing
ATO J140.3407+40.8548,140.34077796179,40.85483429851,0.5780,RR_Lyrae(V),,3715.4,0.00,No Gaia Ref
CRTS J193828.0-462811,294.61732484369,-46.46926189,2.8557,None,,0,0.00,Processing
CRTS J080706.4+090420,121.77700371253005,9.072282596090002,2.6892,None,,0,0.00,Processing
V* AZ Lep,83.051820913,-13.09148640472,0.5351,RR_Lyrae(K),,3426.6,0.00,No Gaia Ref
V* V450 Ser,233.27771219704,11.41566799398,13.2943,Cepheid(IR),,44458.9,0.00,No Gaia Ref
CRTS J190327.6-451007,285.86553155079,-45.168684662980006,500.0000,None,,0,0.00,Processing
CRTS J074342.6-530134,115.92682342931,-53.02614142053,0.5194,RR_Lyrae(V),,3715.4,0.00,No Gaia Ref
ASAS J054238-2557.3,85.65539523435,-25.95245639345,4.1972,None,,0,0.00,Processing
CRTS J220852.9-615728,332.21993129906,-61.95810401605999,0.5731,RR_Lyrae(V),,3715.4,0.00,No Gaia Ref
V* V335 Dra,235.16948908877,60.80674896522,0.6303,RR_Lyrae(K),,3868.8,0.00,No Gaia Ref
ATO J142.7158-10.2694,142.71586302636,-10.26937147061,0.6400,RR_Lyrae(V),,3715.4,0.00,No Gaia Ref
V* V882 Aql,283.75810001669,0.56511215292,0.5100,RR_Lyrae(K),,1178.5,0.00,No Gaia Ref
ATO J105.4013-12.9851,105.40136859378458,-12.985163869927222,13.2063,Cepheid(IR),,27551.1,0.00,No Gaia Ref
CRTS J135352.4-384427,208.46859472878,-38.74064569361,0.5608,RR_Lyrae(K),,3882.9,0.00,No Gaia Ref
CRTS J132103.4-441816,200.26410426299,-44.30539079857001,1.7458,None,,0,0.00,Processing
UCAC4 300-246463,285.33914716465995,-30.13705854251,0.6536,RR_Lyrae(K),,3815.3,0.00,No Gaia Ref
V* KN Lyr,277.68593243359,38.39865913028999,0.6017,RR_Lyrae(K),,3434.0,0.00,No Gaia Ref
NSVS  17022192,295.64378336206994,-17.47913788497,0.7159,RR_Lyrae(K),,3536.3,0.00,No Gaia Ref
CRTS J145753.7-312630,224.4738770482279,-31.44156902416527,10.9663,Cepheid(IR),,49349.8,0.00,No Gaia Ref
CRTS J030030.6-085026,45.1278787414,-8.84058609956,3.0051,None,,0,0.00,Processing
CRTS J130031.0-512103,195.12951353827,-51.35068502351,0.5007,RR_Lyrae(V),,3698.3,0.00,No Gaia Ref
CRTS J213555.7-365242,323.98249195485,-36.87814471791,0.6146,RR_Lyrae(V),,3698.3,0.00,No Gaia Ref
NSVS  14721871,24.43499962858,-9.902722030939998,0.5659,RR_Lyrae(K),,4160.7,0.00,No Gaia Ref
CRTS J152349.9-360413,230.9587182177658,-36.07055555039417,14.5961,Cepheid(IR),,44227.2,0.00,No Gaia Ref
ATO J021.1523+54.0885,21.15229398044708,54.08849674103722,13.1625,Cepheid(IR),,33170.7,0.00,No Gaia Ref
V* BE Hyi,42.90196291313999,-72.17116112989,0.5890,RR_Lyrae(K),,4018.6,0.00,No Gaia Ref
UCAC4 191-192923,277.6419652038429,-51.81726660672334,500.0000,Cepheid(IR),,636683.5,0.00,No Gaia Ref
CRTS J131222.9-251531,198.09557068041536,-25.258602751720836,2.3118,Cepheid(IR),,18113.3,0.00,No Gaia Ref
SV* HV 11907,43.40018781388,-68.74850766226,0.9079,RR_Lyrae(K),,6082.1,0.00,No Gaia Ref
CRTS J042014.1-423612,65.05941702014,-42.60292240571,0.5237,RR_Lyrae(V),,3681.3,0.00,No Gaia Ref
Cl* NGC 6809    SAW V3,295.02194509239,-31.04317349482,0.6623,RR_Lyrae(K),,5063.0,0.00,No Gaia Ref
V* SW Leo,163.98128989858,-2.9823148114100007,0.5548,RR_Lyrae(K),,4099.8,0.00,No Gaia Ref
CRTS J114948.9-110347,177.45410079862,-11.06339692701,4.5077,Cepheid(IR),,32730.3,0.00,No Gaia Ref
CRTS J062940.9-345558,97.41978697752,-34.93283673693,0.6364,RR_Lyrae(V),,3681.3,0.00,No Gaia Ref
ATO J341.9107+18.6414,341.91071958395,18.64149111742,0.5592,RR_Lyrae(V),,3681.3,0.00,No Gaia Ref
V* LX Del,313.07909509933,7.146341350520001,0.5675,RR_Lyrae(K),,3389.7,0.00,No Gaia Ref
CRTS J151157.6-165205,227.99033824848,-16.86762135609,0.5994,RR_Lyrae(K),,4059.0,0.00,No Gaia Ref
CRTS J150951.0-181156,227.46279401015,-18.19820003094,90.1466,None,,0,0.00,Processing
NIKC 2-9,33.17395935067,64.26656256795,4.9003,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
CRTS J021301.5-193712,33.25666685285,-19.62015898153,1.7307,Cepheid(IR),,17416.0,0.00,No Gaia Ref
CRTS J015656.3-414856,29.23394824264,-41.81612863928001,0.7189,RR_Lyrae(K),,2310.0,0.00,No Gaia Ref
ATO J265.2569-13.0492,265.25695029938373,-13.049309083910275,500.0000,Cepheid(IR),,331712.2,0.00,No Gaia Ref
V* V3956 Sgr,290.14617141198,-11.85338130059,14.1480,Cepheid(IR),,39534.8,0.00,No Gaia Ref
CRTS J120501.3-330206,181.2549963642208,-33.03502448793583,500.0000,Cepheid(IR),,611155.3,0.00,No Gaia Ref
C* 2637,280.1504612282399,-4.91477206774,7.2393,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
CRTS J044905.9+010213,72.27499289773,1.0369950112200002,0.6253,RR_Lyrae(V),,3664.4,0.00,No Gaia Ref
CRTS J041511.3+050555,63.79718425114,5.098759712,5.9598,None,,0,0.00,Processing
V* KV Cen,178.08683751677,-40.48840937082,15.2005,Cepheid(IR),,55021.4,0.00,No Gaia Ref
[PS72] 451,45.346585457260005,-28.78334568631,20.5272,Cepheid(IR),,65064.3,0.00,No Gaia Ref
V* GU Cet,18.41849615252,2.16104370593,0.5364,RR_Lyrae(K),,3603.7,0.00,No Gaia Ref
1SWASP J132305.17-205939.0,200.77152068958,-20.994131267970005,0.5177,RR_Lyrae(V),,3664.4,0.00,No Gaia Ref
CRTS J231032.5-473839,347.63569624195,-47.644028535,0.5473,RR_Lyrae(V),,3664.4,0.00,No Gaia Ref
NSV 11079,279.41944818671,-57.46085326217,7.7652,Cepheid(IR),,46471.2,0.00,No Gaia Ref
CRTS J025210.1-494636,43.04166127916,-49.7769831419,0.7668,RR_Lyrae(K),,4383.8,0.00,No Gaia Ref
CRTS J053417.9+042239,83.57491127384,4.377473765339999,1.8626,None,,0,0.00,Processing
CRTS J044901.8-452305,72.25747457785,-45.38449541846,0.5800,RR_Lyrae(V),,3664.4,0.00,No Gaia Ref
CRTS J103338.8-250002,158.41208839285,-25.00043327048,4.3188,Cepheid(IR),,31941.3,0.00,No Gaia Ref
ATO J275.5127-10.0022,275.5127206344546,-10.00220096698833,0.7294,RR_Lyrae(K),,2994.7,0.00,No Gaia Ref
CRTS J062342.9-303955,95.92864053734,-30.665102864879994,0.6148,RR_Lyrae(V),,3647.5,0.00,No Gaia Ref
V* SS Scl,25.547845229070003,-29.98911554824,0.7227,RR_Lyrae(K),,4663.0,0.00,No Gaia Ref
V* RW Scl,20.72326317156,-26.29269615698,500.0000,Cepheid(IR),,535803.5,0.00,No Gaia Ref
CRTS J090843.8-091727,137.1827415344,-9.29095229011,6.5395,None,,0,0.00,Processing
V* V518 Cen,216.82124038299,-41.78401337146,0.6790,RR_Lyrae(K),,4684.5,0.00,No Gaia Ref
1SWASP J001321.94-425511.2,3.34147619229,-42.919823701000006,0.7422,RR_Lyrae(V),,3647.5,0.00,No Gaia Ref
V* V377 Tel,287.2445249807299,-47.2357686329,0.6139,RR_Lyrae(K),,4119.5,0.00,No Gaia Ref
ATO J141.1985+28.5411,141.1985114095646,28.541203525053884,0.7575,RR_Lyrae(V),,3647.5,0.00,No Gaia Ref
CRTS J100858.0-161736,152.24213045014,-16.293483840920004,19.8556,None,,0,0.00,Processing
V* V725 Her,258.14113607499,40.47405176462,0.5765,RR_Lyrae(K),,3956.6,0.00,No Gaia Ref
CRTS J132419.3-442901,201.08099030836,-44.48317280117,0.6374,RR_Lyrae(V),,3647.5,0.00,No Gaia Ref
CRTS J104249.7-214450,160.70777586768,-21.747488125,4.8606,Cepheid(IR),,34122.7,0.00,No Gaia Ref
V* CV Tau,57.69794101680999,20.46893615931,500.0000,Cepheid(IR),,572879.8,0.00,No Gaia Ref
ATO J087.0269-29.9886,87.02692611682,-29.98859031715,0.5126,RR_Lyrae(V),,3647.5,0.00,No Gaia Ref
V* BD Leo,174.94119834621,15.79459465425,0.5022,RR_Lyrae(K),,3461.1,0.00,No Gaia Ref
V* SW Dor,75.52415819041,-67.28242326063,0.5274,RR_Lyrae(K),,3868.1,0.00,No Gaia Ref
NSV     5,0.75414098081,-70.69118858325,0.5538,RR_Lyrae(V),,3632.5,0.00,No Gaia Ref
CRTS J125325.8-375427,193.35705859849,-37.90767875196,0.7976,RR_Lyrae(V),,3630.8,0.00,No Gaia Ref
CRTS J215038.6-443544,327.66125170609,-44.59529898109,0.6043,RR_Lyrae(V),,3630.8,0.00,No Gaia Ref
SOI 883,87.7928187034,-72.32249659093,0.5583,RR_Lyrae(K),,3873.0,0.00,No Gaia Ref
CRTS J132316.5-291818,200.81865898017,-29.30509820313,0.5355,RR_Lyrae(V),,3630.8,0.00,No Gaia Ref
V* V527 Hya,141.23282681083,-13.19978628259,0.6118,RR_Lyrae(K),,3913.5,0.00,No Gaia Ref
SB 554,20.478002257450004,-31.84144995809,0.5235,RR_Lyrae(V),,3630.8,0.00,No Gaia Ref
CRTS J103241.3-380807,158.17147695223,-38.13580573499,0.5732,RR_Lyrae(V),,3630.8,0.00,No Gaia Ref
CRTS J185902.2-504704,284.7589026988,-50.78407712936,0.6849,RR_Lyrae(V),,3630.8,0.00,No Gaia Ref
Kiso C7-27,292.84107163006,26.723428384260004,14.4652,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
V* AP CVn,192.7940726614,32.97176896607,0.5745,RR_Lyrae(K),,3957.5,0.00,No Gaia Ref
OGLE LMC622.29.000619,66.94193743482,-62.04761815731,1.6711,Cepheid(IR),,16006.1,0.00,No Gaia Ref
Cl* NGC 6779    SAW V2,289.15558228913,30.19310538308,41.0219,Cepheid(IR),,34531.9,0.00,No Gaia Ref
Kiso C1-99,10.05623104123,67.01813458016,500.0000,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
Kiso C7-11,289.82373691973,26.51883148305,14.4652,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
HE 2124-0408,321.77855861584,-3.922895700279999,7.0465,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
HE 2121-0313,320.94237280161,-3.01414142684,14.6466,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
V* KK Eri,47.99083140777,-3.80808092525,0.5053,RR_Lyrae(K),,3959.5,0.00,No Gaia Ref
CRTS J055247.4-083043,88.19740794055,-8.511553682090002,1.9981,None,,0,0.00,Processing
NSVS  14440339,324.2216630619299,1.97961851393,0.5975,RR_Lyrae(K),,3562.7,0.00,No Gaia Ref
[TI98] 1019-1136,155.56141863764,-11.860708040100002,23.1411,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
Kiso C5-202,66.91849474388,47.51217340965,4.6225,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
[W71b] 028-16,128.0393293512,-44.1501917771,7.1393,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
BPS CS 22937-0025,317.55770717598,-38.89748572081,13.5396,Cepheid(IR),,40817.8,0.00,No Gaia Ref
WMIF 24,292.22026502367,-29.58986706458,15.1735,Cepheid(IR),,11837.3,0.00,No Gaia Ref
CRTS J001207.0-552308,3.02991723149,-55.38539780015001,7.2136,Cepheid(IR),,42230.5,0.00,No Gaia Ref
V* V420 Pav,317.3226084869,-74.14884321066,0.5788,RR_Lyrae(V),,3630.8,0.00,No Gaia Ref
UNSW-V 083,178.83724243183,-35.0773105207,40.1710,Cepheid(IR),,107724.3,0.00,No Gaia Ref
Kiso C2-1,72.68583318625,28.48248361376,4.9645,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
CRTS J203210.9-371925,308.04536394483995,-37.32362668171999,0.6759,RR_Lyrae(V),,3630.8,0.00,No Gaia Ref
UCAC4 301-258409,288.36542872654,-29.920820915080004,0.5873,RR_Lyrae(K),,3521.1,0.00,No Gaia Ref
HE 0932-0341,143.79250546071,-3.9092222198,500.0000,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
CRTS J105532.2-382957,163.88431247247624,-38.49893905759168,7.0679,Cepheid(IR),,38296.5,0.00,No Gaia Ref
CRTS J142624.1-225311,216.60083299754,-22.88599816371,0.6007,RR_Lyrae(K),,4025.7,0.00,No Gaia Ref
ASTEP V-0680,263.2556253803899,-53.01113358575001,14.8578,Cepheid(IR),,23506.9,0.00,No Gaia Ref
V* IQ Ara,251.0997354129,-54.56190242775,18.9418,Cepheid(Opt),,48894.8,0.00,No Gaia Ref
CRTS J191522.8-414833,288.8454311041,-41.80903484211,0.7233,RR_Lyrae(V),,3614.1,0.00,No Gaia Ref
BPS BS 16547-0043,229.84362381333003,-5.287536331109999,0.6660,RR_Lyrae(V),,3614.1,0.00,No Gaia Ref
CRTS J113748.6+572027,174.4529206221,57.34086183531,0.8389,RR_Lyrae(V),,3614.1,0.00,No Gaia Ref
V* AO Gru,347.04507670388,-48.36918540133,0.5721,RR_Lyrae(K),,4097.9,0.00,No Gaia Ref
ATO J346.3832+26.8555,346.38327833317,26.855613323950003,0.6133,RR_Lyrae(V),,3614.1,0.00,No Gaia Ref
V* CY Vir,221.21372116809,-4.67834884443,0.6138,RR_Lyrae(K),,3472.4,0.00,No Gaia Ref
BC    118,12.73476961452,71.66064765206,6.7779,Cepheid(IR),,1864.8,0.00,No Gaia Ref
FBS 1416+640,214.53201062296,63.81861444947,500.0000,Carbon_Star_Skip,,0,0.00,Skipped (Carbon)
CRTS J055514.6-374405,88.81090523993,-37.73491094154,6.9789,None,,0,0.00,Processing
ROTSE1 J162721.01+345928.7,246.83753283059,34.99086570015999,0.7293,RR_Lyrae(K),,3896.8,0.00,No Gaia Ref
CRTS J033020.9-551757,52.58694901236,-55.29910058442,0.6413,RR_Lyrae(V),,3614.1,0.00,No Gaia Ref
CRTS J053608.5-332334,84.03556291433,-33.39295612983,0.6533,RR_Lyrae(V),,3614.1,0.00,No Gaia Ref
V* NR Her,265.12741618470994,27.84923225627,2.5212,Cepheid(IR),,21011.4,0.00,No Gaia Ref
CRTS J173716.8+335340,264.32048038397,33.89451814612,1.4565,None,,0,0.00,Processing
V* GX Aqr,338.73906539446,-3.70920848841,0.5481,RR_Lyrae(K),,3505.1,0.00,No Gaia Ref
CRTS J140037.9-212437,210.1574591992146,-21.410613080566943,14.5956,Cepheid(IR),,57877.1,0.00,No Gaia Ref
CRTS J125016.0-404049,192.5671812754279,-40.68014293964944,1.4052,Cepheid(IR),,13670.0,0.00,No Gaia Ref
ATO J133.7133-13.6517,133.7133768742479,-13.651691974973058,16.9914,Cepheid(IR),,67009.0,0.00,No Gaia Ref
V* CQ Peg,326.54848155129,26.93881642832,0.5721,RR_Lyrae(V),,3597.5,0.00,No Gaia Ref
ASAS J093654-0342.8,144.22459149345,-3.71362502759,0.5912,RR_Lyrae(K),,4057.4,0.00,No Gaia Ref
V* GI Vir,192.84280931977,2.9139760183700005,0.5885,RR_Lyrae(K),,3969.1,0.00,No Gaia Ref
NSVS  16258861,234.44510185073,-6.7177261478000005,2.6535,Cepheid(IR),,14498.5,0.00,No Gaia Ref
ATO J349.5518+39.5913,349.5518504600299,39.59140848415001,0.6274,RR_Lyrae(V),,3597.5,0.00,No Gaia Ref
CRTS J195427.7-432846,298.61559578636,-43.47948386357001,0.5120,RR_Lyrae(V),,3597.5,0.00,No Gaia Ref
V* AV Lib,229.80535807582,-24.76607082062,0.6432,RR_Lyrae(K),,3987.5,0.00,No Gaia Ref
V* V349 Lib,237.36962007227,-17.56498004201,0.6153,RR_Lyrae(V),,3597.5,0.00,No Gaia Ref
ASAS J000321+0323.9,0.8383292132900001,3.397839550810001,0.5801,RR_Lyrae(K),,3836.9,0.00,No Gaia Ref
V* AS Lib,229.54141749493,-21.870976120759995,2.1367,Cepheid(IR),,18837.6,0.00,No Gaia Ref
CRTS J041135.4+053954,62.89772023222,5.664859073609999,0.5854,RR_Lyrae(V),,3597.5,0.00,No Gaia Ref
V* BB UMa,177.25858478116,49.19328531692,0.5579,RR_Lyrae(K),,4103.0,0.00,No Gaia Ref
ZTF J140113.11+710523.8,210.30459258157,71.08997787119,0.5446,RR_Lyrae(K),,4217.0,0.00,No Gaia Ref
NSVS    253439,7.1866380240600005,80.03375949547,0.6200,RR_Lyrae(K),,3024.5,0.00,No Gaia Ref
PHL  8084,28.98065059693999,2.04568022189,20.6866,None,,0,0.00,Processing
V* V514 Her,265.2373332557099,24.048921717279995,11.9275,Cepheid(IR),,47295.6,0.00,No Gaia Ref
