name,ra,dec,sp_type,v_mag,parallax,plx_error,snr,reliable
V* RX Cet,8.409500801800002,-15.487445254020002,A7,11.85,0.732,0.0303,24.16,True
TYC 9313-837-1,293.02552999318,-72.4540902102,,11.85,0.5886,0.0148,39.77,True
V* AR Ser,233.37838507691004,2.7771911983,A9V,11.85,0.4975,0.0178,27.95,True
V* CD Vel,146.15935591048915,-45.87697557603695,,11.86,0.5585,0.0137,40.77,True
TYC 2458-1912-1,116.57005680871998,33.31575433916,C-R,11.86,0.6246,0.0194,32.2,True
WRAY 18-292,240.68413608476,-41.35872058377,Ce,11.86,0.4572,0.038,12.03,True
ASAS J075127-4136.3,117.86424227906,-41.60409588092999,,11.86,0.6439,0.0142,45.35,True
V* FO Pav,297.92551412963,-62.73551158451,,11.86,0.3949,0.0168,23.51,True
V* HH Aqr,340.38124097956,-6.477467247880001,,11.86,0.5492,0.02,27.46,True
Case  742,299.54090332031,43.10408945843,C6e,11.86,0.2359,0.0156,15.12,True
V* V1035 Cas,6.995621468290001,49.162574890429994,,11.86,0.5281,0.0213,24.79,True
ASAS J083412-6836.1,128.55026465302,-68.60043214999,,11.86,0.4709,0.0109,43.2,True
Case  413,104.28275802479001,5.481050301059999,C,11.86,0.1422,0.0303,4.69,False
ATO J339.2005-08.0188,339.20047968425246,-8.018783217166112,,11.863,0.5687,0.0185,30.74,True
V* GL Ori,94.71816399375,20.14245058402,C,11.87,0.1774,0.0286,6.2,True
DO  2120,110.30308952128001,0.6028812977299999,R,11.87,1.0023,0.0125,80.18,True
[W71b] 016-09,121.22020658619002,-27.488738919859998,C,11.87,0.1502,0.0193,7.78,True
V* V1269 Aql,294.1671831603,0.89390772594,,11.87,0.9385,0.0218,43.05,True
LEE 209,290.47037295231996,31.334678160700008,"C5,4",11.87,0.2406,0.025,9.62,True
HD 270239,87.84057527203,-68.2122372309,A2II,11.87,0.5572,0.014,39.8,True
RAFGL 5192,96.34088167872,16.99713078001,C,11.87,0.6343,0.0501,12.66,True
CRTS J133743.9-353314,204.43219285357,-35.554248853249995,,11.87,0.5337,0.0242,22.05,True
LAMOST J065706.24+440635.3,104.27598147759,44.10979535567,C-R,11.878,0.5515,0.0204,27.03,True
ASAS J031408-3446.4,48.53461761269,-34.77290138608001,,11.88,0.6039,0.0169,35.73,True
ASAS J083947+1417.4,129.94679456042,14.290067323689998,kA5hA7mA8,11.88,0.655,0.0173,37.86,True
LEE 123,283.14492388951,0.93639958316,N,11.88,1.0191,0.0383,26.61,True
V* V5659 Sgr,299.86141027737,-34.00096712817,,11.88,0.567,0.0168,33.75,True
C*  919,117.73262955672001,-19.57709306022,C,11.88,0.2033,0.0239,8.51,True
BC     84,11.849360140549999,55.45005694916,R/N,11.88,0.3638,0.0261,13.94,True
V* VW CVn,202.42572019510996,28.88029634646,,11.88,0.4868,0.0274,17.77,True
V* AV Vir,200.04818242849998,9.187880791700001,kA5.5hF1.5,11.88,0.5577,0.0222,25.12,True
ROTSE1 J162933.95+083800.1,247.3919631955,8.63366889697,,11.89,0.5734,0.0235,24.4,True
HD 290025,77.8253281353,-1.5256794383899999,F5,11.89,0.635,0.0202,31.44,True
C*  724,110.04381745542,-28.069069100369997,N,11.89,0.1753,0.0189,9.28,True
ATO J239.4133+16.0002,239.41357022480997,16.00024341972,,11.89,0.5015,0.0242,20.72,True
V* VZ Her,258.26667981688,35.97861843146,kA0.5hA9.5/kF1hF7,11.89,0.722,0.0137,52.7,True
LS  IV -01   24,306.90740430831994,-1.6664009049300001,Fwl,11.89,0.5833,0.0237,24.61,True
HE 2205-1033,332.12191082792,-10.31054560007,C,11.89,0.7068,0.0192,36.81,True
LEE 228,323.53116058043,39.07108851742,"C7,2e",11.899,1.4025,0.0933,15.03,True
[W71b] 103-04,228.94647991845997,-59.4566750696,C,11.9,0.4201,0.03,14.0,True
Kiso C6-32,95.75296317207001,4.26234811397,C,11.9,0.308,0.0342,9.01,True
C* 3305,296.67601701735,-16.5712574863,C,11.9,0.2106,0.016,13.16,True
BM   IV  63,122.3623033205,-35.50136606811,C,11.9,0.2256,0.0256,8.81,True
V* AS Vir,193.19112028090998,-10.26010584117,kA9.5hF5,11.9,0.5898,0.0187,31.54,True
[W71b] 076-07,183.74384787582997,-64.64927317866,C,11.9,0.1771,0.0248,7.14,True
C*  898,116.87006768779001,-18.36107564661,C,11.9,0.0813,0.0202,4.02,False
C* 1310,132.29852196688,-56.264688344259994,R,11.9,0.4378,0.0097,45.13,True
BM   IV 134,163.47655512352,-61.45588283151,C,11.9,0.2048,0.0185,11.07,True
CGCS 1564,106.15248633638,-63.24211753862,C,11.9,1.0106,0.0474,21.32,True
V* CS Phe,17.456055405039997,-44.314853802500004,,11.9,0.2985,0.0137,21.79,True
[W71b] 141-02,262.8218764971,-39.66214463178,C,11.9,0.3249,0.0651,4.99,False
BM   IV 107,142.92552986193,-48.22728099849001,C,11.9,0.3176,0.0249,12.76,True
HE 1033-2030,158.85501706327,-20.76203265936,C,11.9,0.6597,0.0161,40.98,True
DO 16312,268.7362643636399,19.62077494048,R,11.9,0.9387,0.017,55.22,True
BM   IV 123,156.81684088092,-59.67273802089,C,11.9,0.2581,0.0254,10.16,True
Case  591,94.02672234648,6.776948654549999,C,11.9,0.1622,0.0311,5.22,True
WRAY 18-109,132.13092654736,-37.51468324657,C,11.9,0.2523,0.0186,13.56,True
C* 2568,275.27021692447,5.38145437164,C,11.9,0.1791,0.0289,6.2,True
BM   IV 151,173.29250960307,-60.05986922113999,C,11.9,0.2308,0.0229,10.08,True
V* RU Cet,15.167930661159998,-15.957669919209996,kA3p,11.9,0.5386,0.0261,20.64,True
V* BK Per,54.92739461659001,52.13755934491,C,11.9,0.5249,0.0406,12.93,True
SOPS  III e-36,136.56057053048,-70.76646741202,R,11.9,0.5517,0.0097,56.88,True
ATO J290.4733-18.7554,290.4733014419121,-18.755405515915832,,11.904,0.5044,0.016,31.52,True
V* RS Pic,70.51363223018,-51.55981358094999,A9,11.91,0.4766,0.0132,36.11,True
V* V690 Sco,269.41103991798997,-40.5575612639,kA7hA7,11.91,0.8108,0.023,35.25,True
V* RV Sex,161.6741706913,-8.37576081837,kA6hF2.5,11.91,0.53,0.0258,20.54,True
Case  236,328.2369206579,53.49255715135,C,11.91,0.3606,0.0215,16.77,True
UNSW-V 355,138.87225163943,-23.66333692857,,11.91,1.2418,0.0199,62.4,True
CRTS J153512.2-145339,233.80137488330462,-14.894248179270832,,11.914,2.5784,0.0154,167.43,True
V* RR Gem,110.38971353662,30.883183144489994,kA2hA7.5,11.92,0.823,0.0324,25.4,True
V* ST Com,199.46393634233,20.780766418130003,kF0hF5,11.92,0.7034,0.0301,23.37,True
V* YY Tuc,347.75237422561,-58.33534669524,kA5hF0,11.93,0.4531,0.016,28.32,True
ATO J097.7427+38.5225,97.74248271167,38.52275016318,F0,11.93,0.6187,0.021,29.46,True
Case  237,328.84390980069,52.88988774234999,N,11.93,0.3189,0.0181,17.62,True
HE 1150-2546,178.31450758103,-26.06150862739,C,11.93,0.9905,0.0206,48.08,True
LEE 257,49.17033878353,58.39814163666,"C5,3",11.93,0.5072,0.0335,15.14,True
V* EF Cnc,130.16174414419,23.26398072532,,11.93,0.6115,0.0405,15.1,True
[W71b] 109-04,238.14093457753998,-55.29229510223,C,11.93,0.4524,0.0231,19.58,True
Case  219,315.04781433416,47.67629925596,"C6,4",11.93,0.4493,0.0205,21.92,True
V* V387 Dra,268.55383269342,51.02294815127,,11.93,0.4601,0.0114,40.36,True
ROTSE1 J180602.51+531852.4,271.51052029045,53.31450188876,,11.93,0.8363,0.0117,71.48,True
V* V535 Mon,107.70347116699,1.2822347169400001,A,11.93,0.6418,0.0157,40.88,True
[M51]  92,243.90344436719,-64.09948897642,C,11.93,0.3403,0.0176,19.34,True
Case  617,278.0074638707499,-15.02965927335,C,11.94,0.3011,0.0261,11.54,True
ASAS J103332-0240.4,158.38413459028,-2.67344455832,,11.94,0.4497,0.0177,25.41,True
ASAS J151358-1358.8,228.49295304265874,-13.981233924848333,,11.94,0.5841,0.022,26.55,True
V* V562 Pup,126.19140611940001,-33.7537662907,C,11.94,0.233,0.0196,11.89,True
HE 1018-0218,155.18028507937,-2.5630665306899996,C,11.945,0.7112,0.0172,41.35,True
LEE 210,291.75725119197,23.599789709600003,"C5,4",11.95,0.5501,0.0247,22.27,True
V* UZ Scl,350.6960014164599,-30.119340960020008,kA8hF5,11.95,0.3792,0.0297,12.77,True
V* V796 Sgr,296.66633292034,-40.45633612016,,11.95,0.4654,0.0212,21.95,True
ATO J313.8531+34.2316,313.85314278592,34.23162818615,,11.95,0.9717,0.0174,55.84,True
V* RX For,47.805076966680005,-26.4829690364,kA9hF6,11.95,0.505,0.0231,21.86,True
Case  195,297.52105124979994,31.014081447250003,"C5-,4",11.95,0.3198,0.0377,8.48,True
NSVS  13151541,179.93899961631,2.86289780333,,11.95,0.4318,0.0286,15.1,True
V* V939 Cyg,294.60135483751,56.54022958601,,11.95,0.428,0.0119,35.97,True
V* BK Ant,146.06173930296,-39.66141477154,,11.95,0.6919,0.0119,58.14,True
IRAS F19191+8658,285.2665994322,87.06236465684,C-N,11.95,0.1764,0.0098,18.0,True
V* RW TrA,255.1945366529,-66.66387502327,kF0hF5,11.95,1.0527,0.0187,56.29,True
ASAS J130807-8503.5,197.01403357384999,-85.05794615031,,11.96,5.1392,0.0103,498.95,True
OGLE GD-RRLYR-109,95.85907794159749,0.09622901500527775,,11.96,0.6565,0.0159,41.29,True
DO  5158,283.13533051589,0.55559981605,R,11.96,0.2066,0.0234,8.83,True
Case  574,81.57034153995,24.049701110510004,C,11.96,0.507,0.0397,12.77,True
V* BT Ant,158.01080936128,-30.177035484690002,A2,11.96,0.6039,0.025,24.16,True
IRAS 15151+6637,228.93910166183,66.43459722404,C-H,11.96,0.1162,0.0153,7.59,True
TYC 9343-1540-1,340.70531711558993,-74.50452196297,,11.965,0.0178,0.0418,0.43,False
TYC 5119-262-1,284.47522601766,-2.83619260928,,11.97,2.4688,0.0128,192.88,True
C* 2741,293.12430875425,1.0330330723300003,C,11.97,0.6213,0.0144,43.15,True
C* 3296,233.22482157352002,54.93025186375,C,11.97,0.1936,0.0131,14.78,True
V* BT Peg,324.09966065952,26.30197182501,,11.97,0.6292,0.0223,28.22,True
NSV 12592,299.60313285082,-54.51442092609,,11.97,0.5215,0.0169,30.86,True
V* ST Vir,216.91280686662876,-0.9016113150308334,kA0hA8.5,11.97,0.7836,0.0224,34.98,True
DO     9,1.5841789471899999,-0.05416298013999999,R,11.972,0.2705,0.0259,10.44,True
Case  151,107.10807433347,-13.467426345959998,N,11.98,0.177,0.0275,6.44,True
V* V1643 Sgr,296.44980313466,-40.93845138338,,11.98,0.4831,0.0155,31.17,True
C*  932,118.32012748674998,-11.49199131494,"C2,5J",11.98,0.146,0.0215,6.79,True
V* V419 Vir,192.01881273819,-8.34649991188,,11.98,0.5024,0.0176,28.55,True
V* V447 Dra,308.13974333368,82.255955701,,11.98,0.6197,0.0246,25.19,True
V* V LMi,156.35661659941,28.785474308690002,kA0.5hA8,11.98,0.5335,0.0245,21.78,True
C* 2533,272.2528034164883,-32.6461598520286,R,11.986,0.6495,0.031,20.95,True
NGC  7092    67,322.88192513147,48.79652654728,F0:,11.99,0.7006,0.0103,68.02,True
LEE  73,104.90410454528002,7.080281086470001,C,11.99,0.2176,0.0319,6.82,True
CRTS J163409.8-202007,248.54192747465,-20.334512185049995,,11.99,0.5748,0.0176,32.66,True
C*  360,83.1243584699,15.74556882942,"C5,3",11.99,0.4693,0.0246,19.08,True
BM   IV 155,176.88389926795,-62.69123661945,C,12.0,0.3074,0.0221,13.91,True
V* SZ Gem,118.43105622272002,19.27331386746,kF2.5hF6.5,12.0,0.6478,0.0248,26.12,True
[W71b] 017-10,120.9257039201,-32.93488693025001,C,12.0,0.1305,0.0234,5.58,True
V* BO Aqr,343.5344607000599,-12.36060554243,kA7hF1,12.0,0.4047,0.0198,20.44,True
V* FK Pup,122.29575393115003,-36.28527357308,C-N5,12.0,0.8775,0.0192,45.7,True
[W71b] 111-02,237.56229735403,-48.344397869400005,C,12.0,0.389,0.0226,17.21,True
V* V1187 Ori,84.92760751227,-8.152393509870002,C,12.0,0.7912,0.0671,11.79,True
C* 3286,125.17280257924001,-9.34261902237,C,12.0,0.1418,0.0207,6.85,True
V* AI Sct,282.71843913872,-6.739773833760001,"C8,2e",12.0,0.5413,0.0349,15.51,True
[W71b] 047-04,142.1245636398,-51.90348281075,C,12.0,0.197,0.0251,7.85,True
Case  555,62.98721177462,44.31661343719,C,12.0,0.3749,0.0324,11.57,True
[W71b] 072-01,174.25675885189,-58.233671860480015,C,12.0,0.2396,0.0275,8.71,True
[W71b] 017-17,121.94953916515,-33.87130585744999,C,12.0,0.1868,0.0195,9.58,True
BM   IV  17,114.79351197282003,-22.400128654900005,C,12.0,0.2106,0.0234,9.0,True
Kiso C6-1,92.71458001089,9.37636624097,C,12.0,0.2931,0.0354,8.28,True
[W71b] 004-02,112.76988457042,-28.23026543975,C,12.0,0.226,0.0147,15.37,True
[W71b] 019-12,121.36821155774,-39.22151194704,C,12.0,0.2296,0.0233,9.85,True
[W71b] 019-01,119.19462149514,-39.443921514639996,C,12.0,0.2162,0.0181,11.94,True
[W71b] 022-05,122.08221625244,-40.319966321449996,C,12.0,0.1718,0.0188,9.14,True
MC79 2-2,106.50689228038,-23.52218393486,C,12.0,0.2306,0.0206,11.19,True
[W71b] 038-03,132.70135315589,-46.90759746216,C,12.0,0.2032,0.0211,9.63,True
C* 3289,190.25999570250997,-8.88516297494,C,12.0,0.1579,0.0243,6.5,True
[W71b] 027-05,128.43465375335,-33.96394484435,C,12.0,0.1635,0.0153,10.69,True
[W71b] 030-06,130.00183642927,-36.310621773730006,C,12.0,0.1561,0.0195,8.01,True
[W71b] 055-07,151.39926105908,-51.31914203151,C,12.0,0.1336,0.0196,6.82,True
SOPS  III e-7,99.84261048019002,-32.54595722327001,R,12.0,0.1244,0.0161,7.73,True
Case  576,82.94248223814,20.78599525132,C,12.0,0.2018,0.031,6.51,True
V* V492 Aur,84.23642260828,52.04223101603,Ce,12.0,0.1763,0.0228,7.73,True
C* 3247,75.16731002605,45.81334079916999,C,12.0,0.5645,0.0308,18.33,True
[W71b] 111-01,236.76062781321997,-50.26037259443999,C,12.0,0.2562,0.0352,7.28,True
V* XZ Vel,154.36659514063,-50.09720771153,C-N:5,12.0,0.8703,0.0254,34.26,True
BM   IV  79,126.14900588222999,-37.47040407645,C,12.0,0.2209,0.0187,11.81,True
[W71b] 026-09,126.26150757845,-38.73086428289,C,12.0,0.1499,0.0228,6.57,True
V* V1330 Her,272.34024036137,36.754591254590004,,12.0,0.5516,0.0118,46.75,True
[W71b] 111-03,237.64979814779997,-49.626978691320005,C,12.0,0.4277,0.0412,10.38,True
[W71b] 028-18,128.53617914059,-45.49503608152,C,12.0,0.2216,0.0309,7.17,True
V* AE Gru,343.96564716833,-40.67131054586,Ce,12.0,0.3138,0.0469,6.69,True
V* FP Vel,148.3581399981,-52.50937532251,C,12.0,0.35,0.0214,16.36,True
[W71b] 031-19,130.3154724517,-47.35996083893001,C,12.0,0.2253,0.0438,5.14,True
V* V1319 Sco,238.96494699619,-21.809113686020005,,12.0,1.1299,0.0262,43.13,True
[W71b] 086-03,203.60036542969,-61.87327487837,C,12.0,0.2314,0.0355,6.52,True
[W71b] 028-10,126.96808430578,-46.03922360221,C,12.0,0.1453,0.0293,4.96,False
[W71b] 087-08,203.34518326796996,-65.52478247827,C,12.0,0.26,0.0241,10.79,True
DJM 200,112.72921076974,-13.72711444716,C,12.0,0.2041,0.0218,9.36,True
[W71b] 030-04,129.45051164881,-36.46698595681,C,12.0,0.2168,0.0237,9.15,True
[W71b] 031-09,129.12403844382,-47.973087555869995,C,12.0,0.2872,0.0272,10.56,True
[W71b] 017-12,121.04980937726003,-32.63800295693001,C,12.0,0.2076,0.0183,11.34,True
WRAY 18-273,213.95755896191997,-58.9882554358,C,12.0,0.3163,0.0657,4.81,False
WRAY 18-206,158.28984214561,-61.23240216413999,C,12.0,0.2645,0.0228,11.6,True
[W71b] 024-04,124.73981136304,-34.07099438524,C,12.0,0.1607,0.0163,9.86,True
[W71b] 038-06,133.24361776829,-47.14550727105999,C,12.0,0.1728,0.0221,7.82,True
[W71b] 038-07,133.33705872468,-46.38019392853,C,12.0,0.2242,0.0259,8.66,True
[W71b] 047-06,142.29546730499,-53.46935774747,C,12.0,0.2623,0.0255,10.29,True
[W71b] 038-10,135.53729003605,-46.53885899837,C,12.0,0.4421,0.0373,11.85,True
[W71b] 042-03,137.25744961547,-44.0964750288,C,12.0,0.1979,0.0209,9.47,True
[W71b] 040-15,137.34946843313,-52.89441864742,C,12.0,0.1731,0.0186,9.31,True
[W71b] 031-01,127.61674340617002,-46.42656490438001,C,12.0,0.1737,0.0242,7.18,True
[W71b] 042-05,139.08083090057,-44.08019384325,C,12.0,0.1714,0.0199,8.61,True
[W71b] 049-05,145.36718124023042,-49.79538860214222,C,12.0,0.1203,0.0661,1.82,False
[W71b] 136-02,257.81764899634163,-32.78565203671861,C,12.0,0.4569,0.0885,5.16,True
[W71b] 049-06,145.57336301753,-49.52318286273001,C,12.0,0.0795,0.0192,4.14,False
CGCS 2139,124.51442061371999,-20.138757228380005,C,12.0,0.2145,0.0186,11.53,True
WRAY 18-296,247.55254504575998,-53.48073822297,Ce,12.0,0.2954,0.0319,9.26,True
[W71b] 019-05,120.35538540531003,-38.28010305914,C,12.0,0.2213,0.026,8.51,True
V* RT Equ,318.68022273753,4.49367805337,,12.0,0.4526,0.0242,18.7,True
[W71b] 052-11,149.53573682418,-52.46847606665,C,12.0,0.1573,0.0169,9.31,True
[W71b] 015-08,120.02129941206003,-36.97184989815,C,12.0,0.2544,0.0273,9.32,True
SOPS   IV e-80,217.92472932449996,-43.70296449181,R,12.0,0.2896,0.0167,17.34,True
BM   IV 140,166.16305767221,-60.1626879059,C,12.0,0.1624,0.0223,7.28,True
BM   IV 144,167.49347911613,-60.11849748485,C,12.0,0.171,0.026,6.58,True
ASAS J193321-2517.6,293.33770760095,-25.291982372169997,,12.0,0.687,0.0177,38.81,True
BM   IV 124,157.38700663816,-60.23415049089999,C,12.0,0.2517,0.0215,11.71,True
[W71b] 084-07,197.23603619120996,-64.85779640288,C,12.0,0.0122,0.022,0.55,False
[W71b] 002-01,110.68294834659001,-26.56121193878,C,12.0,0.2144,0.0172,12.47,True
[W71b] 023-05,123.93296221192001,-35.88489668506,C,12.0,0.2358,0.0125,18.86,True
[W71b] 107-01,232.92519634950997,-55.69843134668,C,12.0,0.3192,0.0579,5.51,True
[W71b] 122-05,248.33268669596004,-48.176403325589995,C,12.0,0.599,0.1022,5.86,True
BM   IV  65,122.57540739601998,-31.905926527400002,C,12.0,0.2479,0.0256,9.68,True
[W71b] 019-08,120.63237373684998,-39.30348961426,C,12.0,0.2289,0.031,7.38,True
V* Z Gru,323.65467963605,-49.12459839483,kA2hF0,12.0,0.4794,0.017,28.2,True
BM   IV 116,149.14090668199,-54.27236228708001,C,12.0,0.2792,0.0265,10.54,True
[W71b] 131-01,253.03094226835998,-40.989596107329994,C,12.0,0.3457,0.0402,8.6,True
[W71b] 064-08,162.05388914584,-62.86202802397,C,12.0,0.1714,0.0223,7.69,True
C* 3253,79.04673355554,11.255970823500002,N,12.0,0.405,0.0264,15.34,True
V* X Ret,51.333718401240006,-65.05516946983,kA5hA9,12.0,0.6275,0.0144,43.58,True
[W71b] 051-13,146.71018327493,-57.43402838707999,C,12.0,0.2467,0.0325,7.59,True
[W71b] 001-08,111.53015435433,-24.15900656423,C,12.0,0.1607,0.0262,6.13,True
C*  913,117.57410543994001,-19.49078814903,C,12.0,0.2477,0.0261,9.49,True
[W71b] 009-07,117.66925556583,-31.846631725519995,C,12.0,0.3457,0.02,17.29,True
V* RV TrA,233.02329411541,-62.55540505001,C,12.0,1.258,0.0213,59.06,True
[W71b] 096-01,218.6834160593,-61.77429167406,C,12.0,0.3402,0.0322,10.57,True
[W71b] 060-30,161.10200297283,-61.43867319096001,C,12.0,0.1605,0.02,8.03,True
NSVS   5886523,316.95411649612,37.89541826635999,,12.0,1.8231,0.0129,141.33,True
CLS  98,241.95154957275,29.246295487840005,"C1,2",12.0,0.1991,0.0124,16.06,True
V* AS Cir,228.41432868268,-60.33852860079999,N,12.0,0.8708,0.0283,30.77,True
V* V512 Aur,93.10445243022,43.47082992735,C,12.0,0.2544,0.0296,8.59,True
V* V504 Pup,119.81340859520002,-31.33500689252,C,12.0,0.3532,0.0263,13.43,True
WRAY 18-150,144.55576119146,-47.39444493231,C,12.0,0.165,0.024,6.87,True
BM   IV 110,144.47915348639,-50.68798039727,C,12.0,0.3368,0.0239,14.09,True
BM   IV 145,168.03743694853,-58.33136097058999,C,12.0,0.1659,0.0225,7.37,True
[W71b] 017-05,119.56262716868001,-32.72074451886,C,12.0,0.2357,0.018,13.09,True
[W71b] 064-26,165.30953173543,-62.98381774576001,C,12.0,0.3115,0.0219,14.22,True
[W71b] 015-03,118.89083886508,-36.58212608202,C,12.0,0.4265,0.0304,14.03,True
Case  164,271.75915335549,-14.594039585720006,N,12.0,0.5663,0.041,13.81,True
BM   IV  55,121.38483988193,-30.204171775909998,C,12.0,0.1882,0.0179,10.51,True
[W71b] 089-02,208.42921736118,-60.54156177302,C,12.0,0.3455,0.0399,8.66,True
[W71b] 013-03,118.56986797567,-23.61929065708,C,12.0,0.2362,0.0229,10.31,True
BM   IV  41,118.3986009271,-30.53609486561,C,12.0,0.2263,0.016,14.14,True
[W71b] 040-12,136.72684401636,-53.3792245123,C,12.0,0.1033,0.0182,5.68,True
[W71b] 012-08,119.21665735554001,-33.08173521653,C,12.0,0.2048,0.0186,11.01,True
BM   IV  92,131.76520606653,-46.41505696083,C,12.0,0.2084,0.03,6.95,True
SOPS   II e-77,271.94357887901,-54.556143999359996,R,12.004,0.3669,0.0227,16.16,True
HE 1420-1659,215.76302231428,-17.21400948468,C,12.006,0.5303,0.0153,34.66,True
ROTSE1 J162551.05+154445.3,246.46259244648996,15.746149964279997,,12.01,0.7506,0.0241,31.15,True
ASAS J072835-0442.2,112.14769722259001,-4.70269315258,,12.01,0.543,0.0149,36.44,True
ROTSE1 J170958.08+271437.0,257.49525222704995,27.24178084973,,12.01,0.4092,0.0122,33.54,True
V* V368 Lup,230.80389307558997,-32.44505880839,,12.01,0.6148,0.015,40.99,True
V* HW Leo,145.87001314677,29.453955707560002,,12.01,0.4987,0.0207,24.09,True
V* KT Lac,334.10595257806,54.02179334519,N,12.01,0.1905,0.0201,9.48,True
V* VX Scl,23.84859033134,-35.12850097166,A2,12.01,0.4896,0.0205,23.88,True
TYC 8679-854-1,217.25567639865,-53.88366550755,,12.02,1.0693,0.2458,4.35,False
ASAS J093617-1250.4,144.06945762456,-12.839246862379998,,12.02,0.3336,0.0257,12.98,True
TYC 7122-1811-1,125.47388470701,-30.68869743986,,12.02,1.0958,0.0143,76.63,True
V* V1195 Her,247.89866274364,48.72672525927,A6V,12.02,0.4961,0.0138,35.95,True
BM   IV 137,164.63325360938,-62.59719034524001,C,12.02,0.2383,0.0191,12.48,True
HE 0443-2523,71.3238843927,-25.296619924550008,C,12.022,0.6636,0.0131,50.66,True
SOPS   IV e-19,234.68804634607,-28.65807123409,R,12.03,0.191,0.0189,10.11,True
DO  5148,282.93456114767,-2.29210181828,R,12.03,0.5069,0.0544,9.32,True
C* 1405,138.3964741959,-41.78971119429999,R,12.03,0.5166,0.013,39.74,True
CRTS J074204.8-573830,115.52003377793002,-57.64150356768,,12.03,0.6806,0.0127,53.59,True
V* V409 Cas,5.65840056621,57.44404856042,N,12.03,0.3302,0.0237,13.93,True
ASAS J092425-2405.1,141.10477925945,-24.08477870551,,12.03,0.511,0.0218,23.44,True
V* BS Aps,245.21460125129374,-71.67103346967694,,12.03,0.4953,0.0124,39.94,True
V* TV Lib,229.59119756990003,-8.46187740523,kF2hF4.5,12.03,0.8311,0.0178,46.69,True
C* 2701,286.81203755906,-2.8118026917200005,"C4:,4:J:",12.03,0.2752,0.0336,8.19,True
SOPS    I e-16,240.02401803467995,-68.66051716116,R,12.033,0.1973,0.0171,11.54,True
CD-30 10028,189.58499417919,-31.046288274240002,A3wl,12.04,0.5775,0.0191,30.24,True
V* FS Vel,161.50127858326,-43.98807389353999,kA2hA5,12.04,0.7592,0.0151,50.28,True
HE 1428-1950,217.74746923136,-20.061642830239997,C,12.04,0.3361,0.0211,15.93,True
V* Y Oct,217.26859962067996,-88.64546817976,,12.04,0.4893,0.0119,41.12,True
ROTSE1 J180826.94+453520.7,272.11040190339,45.58850382817,,12.04,1.4115,0.392,3.6,False
ASASSN-V J131550.76+692949.3,198.96142040719997,69.49706810149,,12.04,0.859,0.0151,56.89,True
SOPS   II e-11,278.0595087352,-30.783220119239992,R,12.04,0.1398,0.0287,4.87,False
V* V420 Dra,289.53860143673,65.58827398277,,12.04,0.4183,0.0122,34.29,True
Case  629,295.89386049419,19.300769234330005,C,12.04,0.4013,0.0237,16.93,True
CRTS J210112.0-551159,315.29967454107,-55.19984484062,,12.045,1.1929,0.0155,76.96,True
Case  737,276.41016881097,26.81113872078,C,12.05,0.2495,0.0317,7.87,True
V* V1305 Her,268.20447000207,24.75438706628,,12.05,0.4119,0.0114,36.13,True
Case  567,72.51281080812,36.20936561800001,C,12.05,0.3009,0.0235,12.8,True
V* BP Peg,323.30639206325,22.74008510063,A0,12.05,0.7959,0.03,26.53,True
V* RX Leo,170.99313927723,26.61502084858,kA2.5hF1.5,12.05,0.4465,0.0157,28.44,True
WRAY 18-280,219.58765309453997,-42.96191001748001,C,12.05,0.5028,0.03,16.76,True
HE 1215-2743,184.48295550268998,-28.00850199272,C,12.056,0.672,0.019,35.37,True
SOPS   IV e-36,201.93138891383998,-31.96353427921,C,12.059,0.236,0.0162,14.57,True
V* AE Leo,171.55079341382,17.66102503038,A0,12.06,0.3706,0.0188,19.71,True
V* V388 Vir,185.71992759340998,1.29756721246,,12.06,0.4438,0.0242,18.34,True
Case  674,338.80548569815994,53.35197650291,C,12.06,0.1793,0.0183,9.8,True
SOPS   IV e-20,127.42586594766,-29.33539554154999,C,12.06,0.2025,0.018,11.25,True
V* KZ Pup,118.15213490680003,-17.38353585139,,12.06,0.4057,0.0212,19.14,True
C*   48,14.771263487470003,60.34337633084,R,12.06,0.3446,0.0183,18.83,True
NSVS   6264115,353.24747479521,29.315463492409997,,12.06,0.5034,0.0143,35.2,True
CRTS J071326.2-574026,108.35934778897,-57.67368211467999,,12.06,0.5578,0.0119,46.87,True
Case  434,115.24668753971999,-12.12375865486,C,12.06,0.2204,0.0221,9.97,True
HE 2352-1906,358.70425704457,-18.82531426629,C,12.065,1.2755,0.0129,98.88,True
HE 1030-1518,158.29192309005,-15.563958386700003,C,12.066,0.5125,0.0173,29.62,True
HE 1410-0125,213.35329695825996,-1.66483376149,C,12.069,0.2105,0.018,11.69,True
Case  627,293.36763951421,16.50705821696,C,12.07,0.6922,0.0254,27.25,True
V* BB Hyi,38.32820227840999,-73.61185571278,kA3hF0III,12.07,0.4938,0.0141,35.02,True
V* CI And,28.78455734105,43.76569187493,A8,12.07,0.5647,0.0237,23.83,True
V* V461 Cas,18.2896703592,59.852560439209995,"C4,4",12.07,0.2459,0.019,12.94,True
TYC 1672-1165-1,323.86577972049,19.821272851500005,C-R,12.07,0.7095,0.0198,35.83,True
C*  680,107.21083940623,-16.889816066019996,C,12.07,0.1943,0.0185,10.5,True
ASAS J215125-1358.2,327.8557217694199,-13.96968564403,,12.07,0.5059,0.0198,25.55,True
