name,ra,dec,sp_type,v_mag,parallax,dist_ref,dist_ref_err,period,M_calc,dist_pl,abs_error,rel_error
TYC 9343-1540-1,340.70531711558993,-74.50452196297,RRC,11.965,0.0178,56179.78,131927.79,0.29688,0.346,2107.39,-54072.39,-96.25
V* BT Peg,324.09966065952,26.30197182501,RRAB,11.97,0.6292,1589.32,56.33,0.5567689,-0.164,2672.28,1082.96,68.14
NSV 12592,299.60313285082,-54.51442092609,RRAB,11.97,0.5215,1917.55,62.14,0.5684233,-0.181,2693.07,775.52,40.44
V* V1643 Sgr,296.44980313466,-40.93845138338,RRC,11.98,0.4831,2069.96,66.41,0.33956,0.237,2231.32,161.36,7.8
V* V419 Vir,192.01881273819,-8.34649991188,RRAB/BL,11.98,0.5024,1990.45,69.73,0.51051921,-0.094,2598.94,608.49,30.57
V* V447 Dra,308.13974333368,82.255955701,RRC,11.98,0.6197,1613.68,64.06,0.32827,0.265,2203.28,589.6,36.54
CRTS J163409.8-202007,248.54192747465,-20.334512185049995,RRAB,11.99,0.5748,1739.74,53.27,0.608682,-0.237,2788.44,1048.7,60.28
V* FK Pup,122.29575393115005,-36.28527357308,C-N5,12.0,0.8775,1139.6,24.93,502.0,-4.401,19066.96,17927.36,1573.13
V* XZ Vel,154.36659514063,-50.09720771153,C-N:5,12.0,0.8703,1149.03,33.53,281.0,-3.897,15117.59,13968.56,1215.68
V* V1330 Her,272.34024036137,36.75459125459,RRC,12.0,0.5516,1812.91,38.78,0.27026,0.423,2067.69,254.78,14.05
V* V1319 Sco,238.96494699619,-21.809113686020005,RRC/BL,12.0,1.1299,885.03,20.52,0.2541281,0.473,2020.64,1135.61,128.31
V* RT Equ,318.68022273753,4.49367805337,RRAB/BL,12.0,0.4526,2209.46,118.14,0.44481338,0.018,2491.26,281.8,12.75
ASAS J193321-2517.6,293.33770760095,-25.29198237217,RRAB/BL,12.0,0.687,1455.6,37.5,0.50741,-0.089,2617.0,1161.4,79.79
ROTSE1 J162551.05+154445.3,246.46259244649,15.746149964279995,RRAB,12.01,0.7506,1332.27,42.78,0.4424016,0.022,2497.67,1165.4,87.47
ASAS J072835-0442.2,112.14769722259,-4.70269315258,RRC,12.01,0.543,1841.62,50.53,0.306637,0.32,2177.7,336.08,18.25
ROTSE1 J170958.08+271437.0,257.49525222704995,27.24178084973,RRC,12.01,0.4092,2443.79,72.86,0.32312,0.277,2220.76,-223.03,-9.13
V* V368 Lup,230.80389307559,-32.44505880839,RRAB,12.01,0.6148,1626.55,39.68,0.504915,-0.085,2624.24,997.69,61.34
V* HW Leo,145.87001314677,29.45395570756,RRAB,12.01,0.4987,2005.21,83.23,0.5907177,-0.212,2782.89,777.68,38.78
ASAS J093617-1250.4,144.06945762456,-12.839246862379998,RRAB,12.02,0.3336,2997.6,230.93,0.404169,0.096,2425.8,-571.8,-19.08
TYC 7122-1811-1,125.47388470701,-30.68869743986,RRC,12.02,1.0958,912.58,11.91,0.26962,0.424,2084.98,1172.4,128.47
CRTS J074204.8-573830,115.52003377793002,-57.64150356768,RRAB,12.03,0.6806,1469.29,27.42,0.5543647,-0.161,2742.71,1273.42,86.67
ASAS J092425-2405.1,141.10477925945,-24.08477870551,RRAB,12.03,0.511,1956.95,83.49,0.51699,-0.104,2672.04,715.09,36.54
V* BS Aps,245.2146012512937,-71.67103346967694,RRAB/BL,12.03,0.4953,2018.98,50.55,0.5825589,-0.201,2794.07,775.09,38.39
V* Y Oct,217.26859962068,-88.64546817976,RRAB,12.04,0.4893,2043.74,49.7,0.646586,-0.286,2918.6,874.86,42.81
ASASSN-V J131550.76+692949.3,198.9614204072,69.49706810149,RRC,12.04,0.859,1164.14,20.46,0.407811,0.088,2456.47,1292.33,111.01
V* V420 Dra,289.53860143673,65.58827398277,RRC,12.04,0.4183,2390.63,69.72,0.32963,0.261,2268.52,-122.11,-5.11
CRTS J210112.0-551159,315.29967454107,-55.19984484062,RRC,12.045,1.1929,838.29,10.89,0.310481,0.31,2223.42,1385.13,165.23
V* V1305 Her,268.20447000207,24.75438706628,RRC,12.05,0.4119,2427.77,67.19,0.29137,0.361,2176.22,-251.55,-10.36
V* V388 Vir,185.71992759341,1.29756721246,RRAB,12.06,0.4438,2253.27,122.87,0.542991,-0.144,2759.39,506.12,22.46
NSVS   6264115,353.24747479521,29.31546349241,RRAB/BL,12.06,0.5034,1986.49,56.43,0.69608492,-0.346,3028.0,1041.51,52.43
CRTS J071326.2-574026,108.35934778897,-57.67368211467999,RRC,12.06,0.5578,1792.76,38.25,0.314169,0.3,2248.74,455.98,25.43
ASAS J215125-1358.2,327.8557217694199,-13.96968564403,RRAB,12.07,0.5059,1976.68,77.36,0.5777499,-0.194,2837.2,860.52,43.53
CRTS J122131.8-362821,185.38246388115,-36.47209343563,RRAB,12.07,0.5688,1758.09,79.44,0.6378121,-0.275,2944.12,1186.03,67.46
ASAS J023020-5908.1,37.58135648948,-59.13445069973,RRAB/BL,12.071,0.4963,2014.91,56.03,0.572857,-0.188,2829.5,814.59,40.43
V* RR Gru,324.51486067409,-44.68669432667999,RRAB,12.08,0.4815,2076.84,61.25,0.552464,-0.158,2802.99,726.15,34.96
V* DQ CMi,110.1604110843,6.68207869551,RRAB,12.08,0.4986,2005.62,66.77,0.615834,-0.246,2919.17,913.55,45.55
V* BI Eri,57.46166255027,-23.93051654566,RRAB,12.088,0.5947,1681.52,49.2,0.497503,-0.073,2705.21,1023.69,60.88
CRTS J150746.5-285508,226.94389508446,-28.92004318143001,RRAB,12.09,0.286,3496.5,221.28,0.52731,-0.12,2767.28,-729.22,-20.86
CRTS J113004.2-485933,172.51695168668,-48.99262571923,RRC,12.09,0.4683,2135.38,63.84,0.330148,0.26,2322.72,187.34,8.77
NSV  1856,77.16105795815,-56.04926985319,RRAB/BL,12.1,0.4259,2347.97,73.87,0.516104,-0.103,2757.81,409.84,17.45
V* AQ CrB,239.38250651467,28.633562946620003,RRAB,12.1,0.3746,2669.51,94.78,0.665426,-0.309,3032.77,363.26,13.61
CRTS J022357.7-453842,35.9909704967,-45.644814900810005,RRC|EC|ESD,12.1,0.475,2105.26,98.39,0.319599,0.286,2305.27,200.01,9.5
V* V1348 Her,277.30728878574,21.07178526573,RRAB/BL,12.11,0.5658,1767.41,70.91,0.591074,-0.213,2914.7,1147.29,64.91
ASAS J212331-3025.0,320.88067222718,-30.41577400718,RRC/BL,12.11,0.4665,2143.62,98.8,0.367442,0.173,2439.95,296.33,13.82
V* V1646 Sgr,305.78641890975,-31.29502655556,RRAB,12.12,0.5188,1927.53,84.71,0.5444359,-0.146,2839.51,911.98,47.31
ATO J284.6376-09.0743,284.63765967625,-9.07438229434,RRAB,12.13,0.4161,2403.27,80.28,0.75562,-0.412,3224.67,821.4,34.18
NSV 14530,350.69407265258,-46.69232302246,RRAB,12.13,0.3899,2564.76,124.32,0.5532177,-0.159,2869.74,304.98,11.89
V* HH Tel,293.33457967841,-45.66364785334,RRAB/BL,12.13,0.5362,1864.98,59.13,0.4820925,-0.047,2725.78,860.8,46.16
V* TX Scl,358.84275353605,-26.30196415815,kAmF,12.14,0.4375,2285.71,101.88,0.7277787,1.276,1488.67,-797.04,-34.87
V* RY Oct,324.03896264897,-77.30376006693,RRAB/BL,12.14,0.5052,1979.41,57.99,0.5634476,-0.174,2902.81,923.4,46.65
NSVS  15899416,179.97418494814,-11.60779809207,RRC,12.15,0.4604,2172.02,114.64,0.465032,-0.018,2714.18,542.16,24.96
V* VZ Lup,224.54518473236,-45.93696600554,RR,12.16,0.2639,3789.31,325.95,0.571,-0.185,2944.3,-845.01,-22.3
V* V1343 Cen,215.28363931982,-37.07104140706,RRC,12.16,0.4056,2465.48,125.22,0.28518,0.379,2270.99,-194.49,-7.89
ZTF J012226.25+591236.3,20.60943794222,59.21006236973,RRC,12.162,0.4702,2126.75,69.66,0.419794,0.065,2626.73,499.98,23.51
V* V672 Aql,296.40707646828,8.02140492726,RRAB/BL:,12.17,0.7209,1387.15,33.87,0.5298365,-0.124,2876.27,1489.12,107.35
V* XZ UMi,219.96507869853,74.75061128263,RRAB/BL,12.17,0.478,2092.05,57.33,0.58521,-0.205,2985.21,893.16,42.69
NSVS   3117163,289.39519561915,66.14404811088,RRC,12.17,0.3619,2763.19,104.6,0.358562,0.193,2485.46,-277.73,-10.05
V* AM Vir,200.88885511148,-16.666079659,RRAB/BL,12.18,0.6857,1458.36,54.45,0.6150842,-0.245,3055.35,1596.99,109.51
ASAS J213502-2053.8,323.75604509578,-20.89680250703,RRC,12.18,0.3911,2556.89,120.29,0.338425,0.24,2443.54,-113.35,-4.43
V* HO Car,154.0762296101,-63.53893804799999,RRC,12.18,0.3671,2724.05,106.85,0.4021,0.1,2606.28,-117.77,-4.32
V* ST Eri,61.60308796339,-23.658843320640003,RRC,12.18,0.4792,2086.81,62.27,0.327091,0.268,2412.6,325.79,15.61
V* V346 Ser,229.66771489917,14.9842478382,C-N,12.18,0.0096,104166.67,499131.94,275.26159,-3.879,16289.14,-87877.53,-84.36
C* 3279,106.53239679603,40.20036848977001,C-N,12.19,0.1749,5717.55,683.23,312.012,-3.988,17205.55,11488.0,200.93
ASAS J180023-7026.5,270.09408604317,-70.44047753979,RRC/BL,12.19,0.4744,2107.93,58.21,0.3556146,0.2,2500.73,392.8,18.63
V* OX Aqr,358.50555390683,-7.67750867909,RRAB,12.19,0.198,5050.51,714.21,0.5289262,-0.123,2901.01,-2149.5,-42.56
V* V592 CrA,276.58675668863,-44.99727652227,RRAB,12.19,0.4493,2225.68,124.34,0.593718,-0.217,3029.14,803.46,36.1
ATO J302.1819+31.8282,302.18194555315085,31.82824844491777,RRC:,12.192,0.5953,1679.83,29.06,0.376455,0.153,2556.92,877.09,52.21
V* CE Her,265.48564188617,15.07506186001,hF5mA7,12.2,0.2529,3954.13,297.07,1.209439,0.835,1875.14,-2078.99,-52.58
C* 3300,265.13366664829,11.966462633360004,C-N,12.2,0.16,6250.0,824.22,63.715935,-2.608,9155.86,2905.86,46.49
TYC 9317-1439-1,291.66128191587,-74.64344869234,RRC,12.2,0.4306,2322.34,89.53,0.31672,0.294,2405.76,83.42,3.59
CRTS J022714.9+140826,36.81249624402,14.14034616931,RRC,12.2,0.6915,1446.13,46.85,0.30543,0.323,2373.32,927.19,64.12
V* RY Hya,125.02633697396,2.7656042042,C-N5+,12.2,0.6533,1530.69,103.8,522.0,-4.435,21235.78,19705.09,1287.33
CRTS J115213.6-294551,178.05650026751,-29.7646441636,RRC,12.21,0.3971,2518.26,95.76,0.42263,0.059,2692.21,173.95,6.91
V* HN Tel,294.26713682794,-52.97189526359999,RRAB,12.21,0.4538,2203.61,99.55,0.6003634,-0.226,3069.92,866.31,39.31
GSC 08758-01831,280.14715184773,-53.84222521648,RRD,12.21,0.2628,3805.18,293.93,0.3563601,0.198,2525.84,-1279.34,-33.62
NGC  5272   238,205.46469881251,28.38958191028,SRD,12.22,0.0967,10341.26,1732.46,174.0,-3.481,13810.83,3469.57,33.55
V* CQ Boo,223.52019251782,15.62967077078,RRC,12.23,0.5118,1953.89,109.57,0.281883,0.388,2335.21,381.32,19.52
V* MS Ara,270.7678696215,-52.72238434537,RRAB,12.23,0.5511,1814.55,69.47,0.5249836,-0.117,2946.69,1132.14,62.39
V* V456 Ser,234.38685788534,-1.73150049491,RRAB/BL,12.23,0.2319,4312.2,418.39,0.517554,-0.105,2931.02,-1381.18,-32.03
CRTS J061233.0-540235,93.13685584935,-54.04372195259,RRC,12.23,0.6379,1567.64,31.7,0.220934,0.586,2131.84,564.2,35.99
V* V395 Sgr,285.00677152427,-27.70084807927,RRAB,12.24,0.1425,7017.54,1147.43,0.4664729,-0.021,2832.31,-4185.23,-59.64
V* CY Dra,296.5217692888,59.57396899199999,RRAB,12.24,0.3881,2576.66,89.63,0.53487,-0.132,2981.02,404.36,15.69
V* EL Aps,263.9218254011299,-76.22103883719,RRAB/BL,12.25,0.7229,1383.32,20.28,0.5797216,-0.197,3086.34,1703.02,123.11
ROTSE1 J154746.38+272445.2,236.94467431379,27.41601483956,RRAB,12.25,0.4285,2333.72,71.35,0.76900184,-0.427,3430.34,1096.62,46.99
V* FF Psc,4.45241042257,9.88949087345,RRAB,12.25,0.6679,1497.23,53.8,0.7011099,-0.352,3313.78,1816.55,121.33
ASAS J040312-1951.2,60.80066183363,-19.85306962,RRAB,12.26,0.5017,1993.22,83.03,0.60881,-0.237,3157.88,1164.66,58.43
V* KX Leo,171.99734192139,13.364175702000002,RRC,12.27,0.4741,2109.26,72.07,0.34565,0.223,2567.14,457.88,21.71
V* DZ Oct,133.70143566841,-83.28255801645,RRAB/BL,12.27,0.3714,2692.51,92.07,0.47786,-0.04,2897.73,205.22,7.62
ASAS J185719-6321.4,284.32889604835,-63.35683638074,RRAB/BL,12.28,0.3208,3117.21,157.42,0.4120017,0.08,2754.05,-363.16,-11.65
V* V476 Vir,202.34361930407,-5.883126836299999,RRAB/BL,12.28,0.5638,1773.68,107.59,0.576341,-0.192,3122.44,1348.76,76.04
TYC 8578-1754-1,122.40618324598,-58.75512895666,RRC,12.28,0.7109,1406.67,21.57,0.273681,0.412,2363.36,956.69,68.01
ATO J245.8031+06.7618,245.80315512820704,6.761858751246112,RRAB,12.284,0.4834,2068.68,67.62,0.64206,-0.28,3257.12,1188.44,57.45
ASAS J142951-2147.8,217.46434304002,-21.79780978313,RRC,12.29,0.476,2100.84,99.75,0.326675,0.269,2536.76,435.92,20.75
TYC 8370-949-1,274.16654998449,-50.68813700158001,RRC,12.29,0.3736,2676.66,145.44,0.290053,0.365,2426.42,-250.24,-9.35
CRTS J110024.2-024225,165.10095266185,-2.70724680629,RRC,12.299,0.4752,2104.38,111.6,0.362092,0.185,2647.27,542.89,25.8
AG+38 2447,356.01421347099,38.80611352603,RRC,12.3,0.8074,1238.54,33.13,0.33941,0.238,2585.18,1346.64,108.73
ASAS J202244-1710.6,305.68112914747,-17.17617965118,RRC|EC,12.3,0.4002,2498.75,126.12,0.31522,0.298,2514.67,15.92,0.64
C* 3282,118.55501432682,72.227777784,C-N,12.3,0.1302,7680.49,1244.69,378.0,-4.155,19543.25,11862.76,154.45
V* V1055 Sgr,285.07134190621,-15.10191786058,RRAB,12.3,0.6202,1612.38,41.6,0.701778,-0.352,3392.18,1779.8,110.38
V* FK Vul,313.12918525357,22.43659158125,RRAB/BL,12.3,0.5356,1867.06,52.64,0.4340527,0.038,2834.27,967.21,51.8
V* V1221 Cen,172.76891991725,-41.11754868039,RRC,12.3,0.4364,2291.48,79.29,0.353228,0.205,2624.05,332.57,14.51
V* V600 Sco,256.01591490385,-38.76051162137999,RRAB,12.3,0.8401,1190.33,26.92,0.455249,-0.001,2885.26,1694.93,142.39
V* AE Tuc,12.502571304959998,-62.63542419307001,RRAB,12.304,0.5794,1725.92,42.0,0.4145285,0.075,2791.04,1065.12,61.71
ATO J277.9319-09.3643,277.9319139948225,-9.36437475644528,RRC,12.306,0.3391,2948.98,133.06,0.2228165,0.579,2214.79,-734.19,-24.9
ATO J119.0205+23.5659,119.020606977935,23.566012780499445,DSCT|BCEP|EC|ESD,12.308,0.4931,2027.99,66.63,0.147703,0.842,1963.83,-64.16,-3.16
CRTS J181629.0+364456,274.12084477493,36.74876764260001,RRC,12.31,0.3777,2647.6,138.09,0.297101,0.346,2470.96,-176.64,-6.67
V* OY And,29.52543957336,38.65515979739,C-N,12.314,0.1043,9587.73,3621.83,298.0,-3.948,17884.9,8297.17,86.54
CRTS J124114.6-405657,190.31115860679668,-40.94914791219666,RRC,12.318,0.6176,1619.17,39.85,0.232417,0.545,2262.48,643.31,39.73
V* V653 Aur,111.2181914941,35.52418152701999,RRAB,12.32,0.4433,2255.81,97.7,0.5792823,-0.197,3186.55,930.74,41.26
ASAS J221039-5049.8,332.66328395681,-50.82957884211999,RRC,12.32,0.3069,3258.39,173.06,0.330648,0.259,2583.7,-674.69,-20.71
V* ET Hya,128.767569949,-8.83609947277,RRAB,12.33,0.5062,1975.5,67.12,0.6855245,-0.333,3409.36,1433.86,72.58
ASAS J135740-1202.3,209.41744205919,-12.03843989805,RRC/BL,12.331,0.557,1795.33,57.7,0.2671226,0.432,2397.67,602.34,33.55
V* V1820 Ori,88.65474009935,4.90313693061,RRAB/BL,12.34,0.9552,1046.9,16.55,0.47906,-0.042,2995.48,1948.58,186.13
V* HN Cet,34.967903638829995,9.28003680713,RRAB/BL,12.34,0.4383,2281.54,100.99,0.462674,-0.014,2956.74,675.2,29.59
V* RS Oct,326.82043035847,-87.65178303659,RRAB/BL,12.34,0.4198,2382.09,97.6,0.458038,-0.006,2945.62,563.53,23.66
CRTS J203437.7-453055,308.65741801627496,-45.51508747391416,RRC,12.341,0.3482,2871.91,170.73,0.314182,0.3,2559.45,-312.46,-10.88
